word	lemma
mom	mom
senator	senator
web	web
attorney	attorney
internet	internet
baseball	baseball
basketball	basketball
creek	creek
clip	clip
teaspoon	teaspoon
tech	tech
congressman	congressman
ranch	ranch
quarterback	quarterback
makeup	makeup
lawsuit	lawsuit
jewelry	jewelry
gasoline	gasoline
teen	teen
railroad	railroad
website	website
tablespoon	tablespoon
pitcher	pitcher
freshman	freshman
backyard	backyard
sidewalk	sidewalk
announcer	announcer
prep	prep
workout	workout
skillet	skillet
playoff	playoff
taliban	taliban
rookie	rookie
mommy	mommy
hometown	hometown
touchdown	touchdown
cookie	cookie
videotape	videotape
lineup	lineup
metro	metro
aging	aging
laptop	laptop
cleanup	cleanup
elk	elk
courthouse	courthouse
sophomore	sophomore
dude	dude
pumpkin	pumpkin
flashlight	flashlight
freeway	freeway
linebacker	linebacker
blog	blog
windshield	windshield
backpack	backpack
confederate	confederate
inning	inning
lumber	lumber
juror	juror
coyote	coyote
cilantro	cilantro
asteroid	asteroid
teammate	teammate
bookstore	bookstore
headnote	headnote
sedan	sedan
strategist	strategist
curb	curb
dime	dime
pueblo	pueblo
anthrax	anthrax
salsa	salsa
interstate	interstate
bartender	bartender
mustache	mustache
baseman	baseman
shooter	shooter
softball	softball
tsunami	tsunami
hitter	hitter
rehab	rehab
roommate	roommate
bailout	bailout
breakup	breakup
twitter	twitter
momma	momma
buildup	buildup
condo	condo
filmmaker	filmmaker
paycheck	paycheck
dorm	dorm
lobbyist	lobbyist
postseason	postseason
reelection	reelection
ballpark	ballpark
foreclosure	foreclosure
offseason	offseason
sulfur	sulfur
tofu	tofu
preseason	preseason
congresswoman	congresswoman
nighttime	nighttime
pitching	pitching
zucchini	zucchini
backcountry	backcountry
bathtub	bathtub
eggplant	eggplant
abs	abs
browser	browser
firefighter	firefighter
chile	chile
recount	recount
intern	intern
staffer	staffer
cornerback	cornerback
backseat	backseat
euro	euro
bullpen	bullpen
buttermilk	buttermilk
cellphone	cellphone
shortstop	shortstop
standoff	standoff
ipod	ipod
sushi	sushi
homeowner	homeowner
cyberspace	cyberspace
aspen	aspen
makeover	makeover
outfielder	outfielder
halftime	halftime
drugstore	drugstore
frosting	frosting
classmate	classmate
homer	homer
resume	resume
ax	ax
diaper	diaper
counterterrorism	counterterrorism
app	app
iphone	iphone
pecan	pecan
watermelon	watermelon
gridlock	gridlock
timeline	timeline
grad	grad
minivan	minivan
roundtable	roundtable
lefty	lefty
matchup	matchup
winery	winery
tarp	tarp
lineman	lineman
cornmeal	cornmeal
fastball	fastball
swath	swath
takeoff	takeoff
midterm	midterm
faucet	faucet
pollster	pollster
coauthor	coauthor
beltway	beltway
sync	sync
lacrosse	lacrosse
cornstarch	cornstarch
bayou	bayou
missy	missy
fundraiser	fundraiser
kickoff	kickoff
sled	sled
reliever	reliever
storefront	storefront
bluegrass	bluegrass
dermatologist	dermatologist
tenderloin	tenderloin
rooster	rooster
levee	levee
brunch	brunch
